APG1L.VS
GRG1L.VS
OLF1R.RG
SAB1L.VS
SFG1T.TL
VLP1L.VS
PTR1L.VS
IVL1L.VS
RSU1L.VS
VBL1L.VS
KNF1L.VS
PRF1T.TL
TAL1T.TL
LNA1L.VS
LGD1L.VS
ARC1T.TL
AUG1L.VS
BLT1T.TL
CPA1T.TL
EEG1T.TL
EFT1T.TL
GRD1R.RG
HAE1T.TL
HMX1R.RG
IGN1L.VS
LHV1T.TL
MRK1T.TL
NCN1T.TL
NTU1L.VS
PKG1T.TL
PZV1L.VS
SAF1R.RG
TEL1L.VS
TKM1T.TL
TSM1T.TL
TVEAT.TL
